ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,-209210896.5647064,-251258089.8729747,-174665647.09785125,-209210896.5647064,-209210896.5647064,-4501458.4133907715,-4501458.4133907715,-4501458.4133907715,-4501458.4133907715,-4501458.4133907715,-4501458.4133907715,0.0,0.0,0.0,-213712354.97809717
2025-01-02,-208052336.954091,-252118574.28517672,-176832135.3211604,-208052336.954091,-208052336.954091,-6632278.099341045,-6632278.099341045,-6632278.099341045,-6632278.099341045,-6632278.099341045,-6632278.099341045,0.0,0.0,0.0,-214684615.05343205
2025-01-03,-206893777.34809074,-212757646.74201906,-133320491.30714676,-206893777.34809074,-206893777.34809074,34411003.338030815,34411003.338030815,34411003.338030815,34411003.338030815,34411003.338030815,34411003.338030815,0.0,0.0,0.0,-172482774.01005992
2025-01-04,-205735217.73876417,-253654311.72051674,-176719915.7126922,-205735217.73876417,-205735217.73876417,-8896092.354820762,-8896092.354820762,-8896092.354820762,-8896092.354820762,-8896092.354820762,-8896092.354820762,0.0,0.0,0.0,-214631310.09358492
2025-01-05,-204576658.13454798,-248460055.06622776,-169947907.40615764,-204576658.13454798,-204576658.13454798,-4988341.322564334,-4988341.322564334,-4988341.322564334,-4988341.322564334,-4988341.322564334,-4988341.322564334,0.0,0.0,0.0,-209564999.4571123
2025-01-06,-203418098.52638674,-242203526.4622919,-167533235.15075132,-203418098.52638674,-203418098.52638674,-3314107.6754501816,-3314107.6754501816,-3314107.6754501816,-3314107.6754501816,-3314107.6754501816,-3314107.6754501816,0.0,0.0,0.0,-206732206.2018369
2025-01-07,-202259538.9198869,-249265123.41111055,-171103609.81250542,-202259538.9198869,-202259538.9198869,-6078725.472360499,-6078725.472360499,-6078725.472360499,-6078725.472360499,-6078725.472360499,-6078725.472360499,0.0,0.0,0.0,-208338264.39224738
2025-01-08,-201100979.30815795,-240398649.13833076,-165492625.40388274,-201100979.30815795,-201100979.30815795,-4501458.413380807,-4501458.413380807,-4501458.413380807,-4501458.413380807,-4501458.413380807,-4501458.413380807,0.0,0.0,0.0,-205602437.72153875
2025-01-09,-199942419.690771,-244876543.4646943,-163844284.41512814,-199942419.690771,-199942419.690771,-6632278.099441082,-6632278.099441082,-6632278.099441082,-6632278.099441082,-6632278.099441082,-6632278.099441082,0.0,0.0,0.0,-206574697.7902121
2025-01-10,-198783860.07684204,-200622091.84570637,-127945328.49805157,-198783860.07684204,-198783860.07684204,34411003.33803242,34411003.33803242,34411003.33803242,34411003.33803242,34411003.33803242,34411003.33803242,0.0,0.0,0.0,-164372856.73880962
2025-01-11,-197625300.46355668,-247712354.47103566,-166150012.42059523,-197625300.46355668,-197625300.46355668,-8896092.35487475,-8896092.35487475,-8896092.35487475,-8896092.35487475,-8896092.35487475,-8896092.35487475,0.0,0.0,0.0,-206521392.81843144
2025-01-12,-196466740.84970754,-238366131.50295052,-165057213.92459,-196466740.84970754,-196466740.84970754,-4988341.32257984,-4988341.32257984,-4988341.32257984,-4988341.32257984,-4988341.32257984,-4988341.32257984,0.0,0.0,0.0,-201455082.17228737
2025-01-13,-195308181.23285598,-236351542.3932089,-159179332.2758725,-195308181.23285598,-195308181.23285598,-3314107.6755124275,-3314107.6755124275,-3314107.6755124275,-3314107.6755124275,-3314107.6755124275,-3314107.6755124275,0.0,0.0,0.0,-198622288.9083684
2025-01-14,-194149621.61535162,-237538238.07739782,-160468535.4081273,-194149621.61535162,-194149621.61535162,-6078725.472301352,-6078725.472301352,-6078725.472301352,-6078725.472301352,-6078725.472301352,-6078725.472301352,0.0,0.0,0.0,-200228347.08765298
2025-01-15,-192991061.99390736,-236845404.84415847,-158921611.78183198,-192991061.99390736,-192991061.99390736,-4501458.4133636225,-4501458.4133636225,-4501458.4133636225,-4501458.4133636225,-4501458.4133636225,-4501458.4133636225,0.0,0.0,0.0,-197492520.407271
2025-01-16,-191832502.37203744,-238447774.0578966,-158131451.097389,-191832502.37203744,-191832502.37203744,-6632278.099392697,-6632278.099392697,-6632278.099392697,-6632278.099392697,-6632278.099392697,-6632278.099392697,0.0,0.0,0.0,-198464780.47143012
2025-01-17,-190673942.75422552,-194599920.29346734,-118034907.19519778,-190673942.75422552,-190673942.75422552,34411003.3380253,34411003.3380253,34411003.3380253,34411003.3380253,34411003.3380253,34411003.3380253,0.0,0.0,0.0,-156262939.41620022
2025-01-18,-189515383.1327352,-234891456.1549837,-159637450.1188718,-189515383.1327352,-189515383.1327352,-8896092.354796361,-8896092.354796361,-8896092.354796361,-8896092.354796361,-8896092.354796361,-8896092.354796361,0.0,0.0,0.0,-198411475.48753154
2025-01-19,-188356823.5072089,-230977726.3278948,-158390560.2666516,-188356823.5072089,-188356823.5072089,-4988341.322595341,-4988341.322595341,-4988341.322595341,-4988341.322595341,-4988341.322595341,-4988341.322595341,0.0,0.0,0.0,-193345164.82980424
2025-01-20,-187198263.87616685,-228032571.22837788,-154038754.99379855,-187198263.87616685,-187198263.87616685,-3314107.6755289556,-3314107.6755289556,-3314107.6755289556,-3314107.6755289556,-3314107.6755289556,-3314107.6755289556,0.0,0.0,0.0,-190512371.5516958
2025-01-21,-186039704.24331635,-235364316.25315773,-152325039.34411597,-186039704.24331635,-186039704.24331635,-6078725.472242204,-6078725.472242204,-6078725.472242204,-6078725.472242204,-6078725.472242204,-6078725.472242204,0.0,0.0,0.0,-192118429.71555856
2025-01-22,-184881144.6033529,-229848717.96050957,-152371323.9168143,-184881144.6033529,-184881144.6033529,-4501458.413416171,-4501458.413416171,-4501458.413416171,-4501458.413416171,-4501458.413416171,-4501458.413416171,0.0,0.0,0.0,-189382603.01676908
2025-01-23,-183722584.9592345,-227435558.8993153,-153534941.20709798,-183722584.9592345,-183722584.9592345,-6632278.099380596,-6632278.099380596,-6632278.099380596,-6632278.099380596,-6632278.099380596,-6632278.099380596,0.0,0.0,0.0,-190354863.0586151
2025-01-24,-182564025.31151977,-187071597.35732996,-111074738.36201575,-182564025.31151977,-182564025.31151977,34411003.3380269,34411003.3380269,34411003.3380269,34411003.3380269,34411003.3380269,34411003.3380269,0.0,0.0,0.0,-148153021.97349286
2025-01-25,-181405465.66053125,-227597183.8842085,-150882469.8257677,-181405465.66053125,-181405465.66053125,-8896092.354740705,-8896092.354740705,-8896092.354740705,-8896092.354740705,-8896092.354740705,-8896092.354740705,0.0,0.0,0.0,-190301558.01527196
2025-01-26,-180246906.00954267,-223484292.57531178,-147331128.0592418,-180246906.00954267,-180246906.00954267,-4988341.322610849,-4988341.322610849,-4988341.322610849,-4988341.322610849,-4988341.322610849,-4988341.322610849,0.0,0.0,0.0,-185235247.33215353
2025-01-27,-179088346.35855418,-221876659.03248006,-143437702.37801453,-179088346.35855418,-179088346.35855418,-3314107.6755912006,-3314107.6755912006,-3314107.6755912006,-3314107.6755912006,-3314107.6755912006,-3314107.6755912006,0.0,0.0,0.0,-182402454.03414539
